label,sublabel,description,styles,bgcolor
可燃,,,img/01-kanen.svg,#FF0000
缶・ビン,,,img/02-kanbin.svg,#FF6600
プラスチック,,,img/03-plastic.svg,#33CC00
ペットボトル,,,img/04-petbottle.svg,#6699FF
白色トレー,,,img/05-tray.svg,#996600
小型破砕,,,img/06-kogata.svg,#663399
乾電池類,,,img/07-kandenchi.svg,#336600
大型資源,,,img/08-ohgata.svg,#330033
家電リサイクル製品,,,img/09-recycle-kaden.svg,#000000
ＰＣリサイクル,,,img/10-recycle-pc.svg,#000000
２輪車リサイクル,,,,#000000
FRP船リサイクル,,,,#000000
消火器リサイクル,,,,#000000
収集しません,,,img/14-none.svg,#000000
